Status,Start Time,Stop Time,Duration in ms,Parent Suite,Suite,Sub Suite,Test Class,Test Method,Name,Description
skipped,Tue Jul 23 14:38:57 IST 2024,Tue Jul 23 14:38:57 IST 2024,0,Ex-22072024,test_Lab141,,,,test_sub3,
passed,Tue Jul 23 14:38:57 IST 2024,Tue Jul 23 14:38:57 IST 2024,0,Ex-22072024,test_Lab141,,,,TC#1 - verify that 2-2 is equal to 0,This is a smoke Testcase which check - verify that 2-2 is equal to 0
passed,Tue Jul 23 14:38:57 IST 2024,Tue Jul 23 14:38:57 IST 2024,0,Ex-22072024,test_Lab141,,,,TC#3 - verify that 1-1 is equal to 0,This is a smoke Testcase which check - verify that 1-1 is equal to 0
passed,Tue Jul 23 14:38:57 IST 2024,Tue Jul 23 14:38:57 IST 2024,0,Ex-22072024,test_Lab141,,,,TC#2 - verify that 3-3 is equal to 0,This is a smoke Testcase which check - verify that 3-3 is equal to 0
